# SIMULATED ENDPOINT TELEMETRY LOG
# Host: WS-NYC-ALICE02 | User: ALICE.CHEN | Domain: CORP.GSINTERNAL.LOCAL
# Role: Senior Compliance Analyst | Timezone: EDT (UTC-4)
# Format: TIMESTAMP | SEVERITY | SOURCE | EVENT_ID | USER | PROCESS | DESCRIPTION
# NOTE: Synthetic data for training/incident response simulation only.

2026-04-01 08:01:15.332 | INFO | SECURITY | 4624 | ALICE.CHEN | winlogon.exe | Successful interactive logon. Workstation: WS-NYC-ALICE02
2026-04-01 08:02:44.118 | INFO | SYSMON | 1 | ALICE.CHEN | explorer.exe | Process created. Parent: userinit.exe
2026-04-01 08:15:09.776 | INFO | APPLICATION | 1001 | ALICE.CHEN | OUTLOOK.EXE | Mailbox sync completed. 287 items processed.
2026-04-01 09:30:22.445 | INFO | SYSMON | 1 | ALICE.CHEN | EXCEL.EXE | Process created. Parent: explorer.exe
2026-04-01 09:31:10.889 | INFO | SYSMON | 11 | ALICE.CHEN | EXCEL.EXE | File opened: C:\Users\ALICE.CHEN\Documents\Compliance_Checklist_Q1.xlsm
2026-04-01 10:45:33.221 | INFO | NETWORK | 3 | SYSTEM | EXCEL.EXE | TCP connection to 10.12.44.22:443 (Internal SharePoint)
2026-04-01 12:00:00.001 | INFO | SECURITY | 4802 | SYSTEM | scrnsave.scr | Screen saver activated. Workstation locked.
2026-04-01 12:45:18.664 | INFO | SECURITY | 4803 | ALICE.CHEN | logonui.exe | Workstation unlocked via Windows Hello.
2026-04-01 14:20:55.112 | INFO | FILE | 11 | ALICE.CHEN | EXCEL.EXE | File saved: C:\Users\ALICE.CHEN\Documents\Audit_Trail_Draft.xlsx
2026-04-01 17:30:02.887 | INFO | SECURITY | 4634 | SYSTEM | winlogon.exe | User logoff. Session 2 ended.
2026-04-01 17:30:05.443 | INFO | POWER | 42 | SYSTEM | kernel | System entering sleep state (S3).

2026-04-02 08:10:33.204 | INFO | SECURITY | 4624 | ALICE.CHEN | winlogon.exe | Successful interactive logon. Host: WS-NYC-ALICE02
2026-04-02 08:25:17.556 | INFO | SYSMON | 1 | ALICE.CHEN | OUTLOOK.EXE | Process created. Parent: explorer.exe
