# SIMULATED ENDPOINT TELEMETRY LOG
# Host: WS-NYC-PHIL07 | User: PHIL.DAVIS | Domain: CORP.GSINTERNAL.LOCAL
# Role: Security Operations Analyst (Tier 2) | Timezone: EDT (UTC-4)
# Format: TIMESTAMP | SEVERITY | SOURCE | EVENT_ID | USER | PROCESS | DESCRIPTION
# NOTE: Synthetic data for training/incident response simulation only.

2026-04-01 07:30:15.332 | INFO | SECURITY | 4624 | PHIL.DAVIS | winlogon.exe | Successful interactive logon. Workstation: WS-NYC-PHIL07
2026-04-01 07:31:44.118 | INFO | SYSMON | 1 | PHIL.DAVIS | explorer.exe | Process created. Parent: userinit.exe
2026-04-01 07:45:09.776 | INFO | APPLICATION | 1001 | PHIL.DAVIS | OUTLOOK.EXE | Mailbox sync completed. 312 items processed.
2026-04-01 08:20:22.445 | INFO | SYSMON | 1 | PHIL.DAVIS | siem_console.exe | Process created. Parent: explorer.exe
2026-04-01 09:15:33.221 | INFO | NETWORK | 3 | SYSTEM | siem_console.exe | TCP connection to 10.10.50.12:9300 (Internal SIEM API)
2026-04-01 12:00:00.001 | INFO | SECURITY | 4802 | SYSTEM | scrnsave.scr | Screen saver activated. Workstation locked.
2026-04-01 12:40:18.664 | INFO | SECURITY | 4803 | PHIL.DAVIS | logonui.exe | Workstation unlocked via smart card.
2026-04-01 14:30:55.112 | INFO | FILE | 11 | PHIL.DAVIS | notepad.exe | File saved: C:\Users\PHIL.DAVIS\Desktop\Investigation_Notes_401226.txt
2026-04-01 17:15:02.887 | INFO | SECURITY | 4634 | SYSTEM | winlogon.exe | User logoff. Session 2 ended.
2026-04-01 17:15:05.443 | INFO | POWER | 42 | SYSTEM | kernel | System entering sleep state (S3).

2026-04-02 08:05:33.204 | INFO | SECURITY | 4624 | PHIL.DAVIS | winlogon.exe | Successful interactive logon. Host: WS-NYC-PHIL07
2026-04-02 08:15:17.556 | INFO | SYSMON | 1 | PHIL.DAVIS | OUTLOOK.EXE | Process created. Parent: explorer.exe
2026-04-02 11:30:44.892 | INFO | EMAIL_GW | 4501 | EXCH_MTA | - | Internal email: Subject='Q2 Diagnostic Tool Update'. Sender='it-tools@gsinternal.local'
